n_failed_parse,n_pairs,n_success,path_id,avg_efficiency,n_missing_F_or_R
0,21,21,0,1.8147619047619048,0
0,21,21,1,1.7266666666666666,0
0,21,21,2,1.7566666666666666,0
0,21,21,3,1.7966666666666664,0
0,21,21,4,1.679047619047619,0
0,21,21,5,1.6985714285714286,0
0,22,22,6,1.7645454545454546,0
0,21,21,7,1.7857142857142858,0
0,21,21,8,1.7685714285714287,0
0,21,21,9,1.7142857142857142,0
0,22,22,10,1.8181818181818181,0
0,21,21,11,1.7857142857142858,0
0,21,21,12,1.7757142857142856,0
0,21,21,13,1.7461904761904763,0
0,21,21,14,1.7580952380952382,0
0,21,21,15,1.7142857142857142,0
0,21,21,16,1.7104761904761905,0
0,21,21,17,1.7566666666666666,0
0,21,21,18,1.7142857142857142,0
0,21,21,19,1.6866666666666668,0
0,22,22,20,1.9090909090909092,0
0,21,21,21,1.7142857142857142,0
0,21,21,22,1.6833333333333333,0
0,22,22,23,1.7727272727272727,0
0,21,21,24,1.7376190476190476,0
0,21,21,25,1.7271428571428569,0
0,21,21,26,1.8333333333333333,0
0,21,21,27,1.6990476190476191,0
0,21,21,28,1.6228571428571428,0
0,21,21,29,1.7857142857142858,0
0,21,21,30,1.7380952380952381,0
0,22,22,31,1.7586363636363636,0
0,21,21,32,1.825238095238095,0
0,22,22,33,1.7627272727272727,0
0,21,21,34,1.6223809523809525,0
0,21,21,35,1.8095238095238095,0
0,21,21,36,1.7619047619047619,0
0,21,21,37,1.7171428571428569,0
0,22,22,38,1.8059090909090911,0
0,21,21,39,1.6647619047619049,0
0,21,21,40,1.74,0
0,22,22,41,1.7495454545454547,0
0,21,21,42,1.7285714285714284,0
0,21,21,43,1.7152380952380955,0
0,22,22,44,1.8409090909090908,0
0,21,21,45,1.8266666666666667,0
0,21,21,46,1.7219047619047618,0
0,21,21,47,1.7685714285714287,0
0,22,22,48,1.8031818181818182,0
0,21,21,49,1.7857142857142858,0
0,21,21,50,1.7619047619047619,0
0,21,21,51,1.7509523809523808,0
0,21,21,52,1.747142857142857,0
0,21,21,53,1.7247619047619047,0
0,22,22,54,1.7986363636363636,0
0,21,21,55,1.8176190476190477,0
0,21,21,56,1.7857142857142858,0
0,21,21,57,1.731904761904762,0
0,22,22,58,1.844090909090909,0
0,21,21,59,1.7142857142857142,0
0,21,21,60,1.6428571428571428,0
0,21,21,61,1.8438095238095238,0
0,22,22,62,1.7868181818181819,0
0,21,21,63,1.694761904761905,0
0,21,21,64,1.739047619047619,0
0,21,21,65,1.7619047619047619,0
0,21,21,66,1.7152380952380955,0
0,21,21,67,1.706190476190476,0
0,22,22,68,1.8181818181818181,0
0,21,21,69,1.7142857142857142,0
0,21,21,70,1.75,0
0,21,21,71,1.8076190476190477,0
0,21,21,72,1.8038095238095235,0
0,22,22,73,1.7663636363636364,0
0,22,22,74,1.7954545454545454,0
0,21,21,75,1.8095238095238095,0
0,21,21,76,1.7833333333333334,0
0,21,21,77,1.7619047619047619,0
0,21,21,78,1.7580952380952382,0
0,21,21,79,1.6904761904761905,0
0,21,21,80,1.8333333333333333,0
0,21,21,81,1.6795238095238094,0
0,22,22,82,1.75,0
0,22,22,83,1.785,0
0,21,21,84,1.7333333333333332,0
0,21,21,85,1.7290476190476192,0
0,21,21,86,1.6914285714285715,0
0,21,21,87,1.6933333333333334,0
0,21,21,88,1.7361904761904763,0
0,22,22,89,1.8436363636363637,0
0,21,21,90,1.7828571428571427,0
0,21,21,91,1.8199999999999998,0
0,21,21,92,1.7099999999999997,0
0,21,21,93,1.7180952380952381,0
0,22,22,94,1.8709090909090909,0
0,22,22,95,1.7822727272727272,0
0,21,21,96,1.768095238095238,0
0,21,21,97,1.8095238095238095,0
0,21,21,98,1.7142857142857142,0
0,22,22,99,1.7995454545454548,0
0,21,21,100,1.7142857142857142,0
0,21,21,101,1.8285714285714285,0
0,21,21,102,1.8057142857142858,0
0,21,21,103,1.7380952380952381,0
0,21,21,104,1.7857142857142858,0
0,22,22,105,1.7954545454545454,0
0,21,21,106,1.7833333333333332,0
0,21,21,107,1.7828571428571427,0
0,21,21,108,1.7142857142857142,0
0,21,21,109,1.7519047619047619,0
0,21,21,110,1.7004761904761905,0
0,21,21,111,1.7485714285714284,0
0,21,21,112,1.7042857142857142,0
0,21,21,113,1.6923809523809523,0
0,21,21,114,1.7619047619047619,0
0,21,21,115,1.6666666666666667,0
0,21,21,116,1.7738095238095237,0
0,22,22,117,1.8495454545454544,0
0,21,21,118,1.8095238095238095,0
0,21,21,119,1.7223809523809526,0
0,21,21,120,1.7533333333333334,0
0,21,21,121,1.7380952380952381,0
0,21,21,122,1.7995238095238095,0
0,21,21,123,1.7495238095238093,0
0,21,21,124,1.716190476190476,0
0,21,21,125,1.720952380952381,0
0,21,21,126,1.7576190476190474,0
0,21,21,127,1.697142857142857,0
0,21,21,128,1.7276190476190476,0
0,21,21,129,1.768095238095238,0
0,21,21,130,1.7133333333333336,0
0,21,21,131,1.7857142857142858,0
0,21,21,132,1.7380952380952381,0
0,22,22,133,1.75,0
0,22,22,134,1.8672727272727272,0
0,21,21,135,1.8452380952380953,0
0,21,21,136,1.7704761904761905,0
0,21,21,137,1.6852380952380952,0
0,21,21,138,1.8095238095238095,0
0,21,21,139,1.779047619047619,0
0,22,22,140,1.7645454545454546,0
0,21,21,141,1.7466666666666666,0
0,21,21,142,1.7142857142857142,0
0,21,21,143,1.7104761904761905,0
0,21,21,144,1.7361904761904763,0
0,21,21,145,1.7928571428571427,0
0,21,21,146,1.7604761904761905,0
0,21,21,147,1.7028571428571428,0
0,21,21,148,1.653809523809524,0
0,21,21,149,1.6228571428571428,0
0,21,21,150,1.7142857142857142,0
0,21,21,151,1.7466666666666666,0
0,22,22,152,1.8181818181818181,0
0,21,21,153,1.8085714285714287,0
0,21,21,154,1.8095238095238095,0
0,21,21,155,1.7252380952380955,0
0,21,21,156,1.6757142857142857,0
0,22,22,157,1.7954545454545454,0
0,21,21,158,1.7619047619047619,0
0,21,21,159,1.6738095238095236,0
0,22,22,160,1.7954545454545454,0
0,22,22,161,1.8281818181818181,0
0,22,22,162,1.8636363636363635,0
0,21,21,163,1.7619047619047619,0
0,21,21,164,1.8552380952380954,0
0,22,22,165,1.745,0
0,21,21,166,1.8152380952380955,0
0,22,22,167,1.8409090909090908,0
0,22,22,168,1.8363636363636366,0
0,21,21,169,1.7180952380952381,0
0,21,21,170,1.7619047619047619,0
0,21,21,171,1.8233333333333337,0
0,22,22,172,1.7559090909090906,0
0,21,21,173,1.8333333333333333,0
0,21,21,174,1.7242857142857144,0
0,21,21,175,1.7857142857142858,0
0,21,21,176,1.7142857142857142,0
0,21,21,177,1.7871428571428571,0
0,21,21,178,1.7138095238095237,0
0,21,21,179,1.7619047619047619,0
0,21,21,180,1.6980952380952379,0
0,21,21,181,1.6880952380952383,0
0,21,21,182,1.8219047619047621,0
0,21,21,183,1.788095238095238,0
0,21,21,184,1.7723809523809524,0
0,21,21,185,1.8157142857142858,0
0,22,22,186,1.9090909090909092,0
0,21,21,187,1.677142857142857,0
0,21,21,188,1.7495238095238097,0
0,22,22,189,1.8863636363636365,0
0,21,21,190,1.7142857142857142,0
0,21,21,191,1.749047619047619,0
0,22,22,192,1.7986363636363636,0
0,21,21,193,1.739047619047619,0
0,21,21,194,1.6666666666666667,0
0,21,21,195,1.7252380952380955,0
0,22,22,196,1.866818181818182,0
0,21,21,197,1.7142857142857142,0
0,21,21,198,1.6614285714285715,0
0,21,21,199,1.619047619047619,0
0,21,21,200,1.7304761904761907,0
0,21,21,201,1.8452380952380953,0
0,21,21,202,1.8157142857142854,0
0,21,21,203,1.6666666666666667,0
0,21,21,204,1.73952380952381,0
0,21,21,205,1.7204761904761903,0
0,21,21,206,1.8338095238095238,0
0,22,22,207,1.741818181818182,0
0,21,21,208,1.7619047619047619,0
0,22,22,209,1.7927272727272727,0
0,21,21,210,1.7809523809523808,0
0,22,22,211,1.8586363636363636,0
0,22,22,212,1.7954545454545454,0
0,21,21,213,1.8666666666666667,0
0,21,21,214,1.7142857142857142,0
0,22,22,215,1.7727272727272727,0
0,21,21,216,1.8061904761904761,0
0,22,22,217,1.8181818181818181,0
0,21,21,218,1.7514285714285716,0
0,21,21,219,1.7871428571428571,0
0,21,21,220,1.6271428571428572,0
0,21,21,221,1.7276190476190476,0
0,21,21,222,1.645714285714286,0
0,21,21,223,1.8095238095238095,0
0,22,22,224,1.7568181818181818,0
0,21,21,225,1.7166666666666666,0
0,21,21,226,1.7380952380952381,0
0,22,22,227,1.765,0
0,21,21,228,1.752857142857143,0
0,22,22,229,1.8031818181818182,0
0,21,21,230,1.6614285714285715,0
0,21,21,231,1.7619047619047619,0
0,21,21,232,1.7857142857142858,0
0,21,21,233,1.8095238095238095,0
0,21,21,234,1.7619047619047619,0
0,21,21,235,1.8395238095238093,0
0,22,22,236,1.7509090909090907,0
0,21,21,237,1.7147619047619047,0
0,21,21,238,1.6428571428571428,0
0,21,21,239,1.8447619047619048,0
0,21,21,240,1.7509523809523808,0
0,21,21,241,1.7195238095238095,0
0,21,21,242,1.7180952380952381,0
0,21,21,243,1.7619047619047619,0
0,21,21,244,1.7795238095238097,0
0,21,21,245,1.8042857142857143,0
0,22,22,246,1.7736363636363637,0
0,22,22,247,1.7322727272727272,0
0,21,21,248,1.7142857142857142,0
0,21,21,249,1.7619047619047619,0
0,21,21,250,1.8095238095238095,0
0,22,22,251,1.7727272727272727,0
0,21,21,252,1.7766666666666668,0
0,22,22,253,1.8036363636363633,0
0,22,22,254,1.7631818181818182,0
0,21,21,255,1.8333333333333333,0
0,22,22,256,1.75,0
0,21,21,257,1.8333333333333333,0
0,21,21,258,1.619047619047619,0
0,21,21,259,1.7085714285714284,0
0,22,22,260,1.7954545454545454,0
0,22,22,261,1.7459090909090909,0
0,21,21,262,1.7857142857142858,0
0,21,21,263,1.7261904761904763,0
0,22,22,264,1.8181818181818181,0
0,21,21,265,1.7857142857142858,0
0,21,21,266,1.7142857142857142,0
0,21,21,267,1.7619047619047619,0
0,21,21,268,1.7414285714285715,0
0,22,22,269,1.7895454545454548,0
0,21,21,270,1.7380952380952381,0
0,22,22,271,1.9318181818181819,0
0,21,21,272,1.7480952380952381,0
0,21,21,273,1.6904761904761905,0
0,22,22,274,1.875,0
0,21,21,275,1.8404761904761904,0
0,21,21,276,1.7642857142857142,0
0,21,21,277,1.7142857142857142,0
0,21,21,278,1.6923809523809523,0
0,21,21,279,1.6900000000000002,0
0,21,21,280,1.7619047619047619,0
0,21,21,281,1.820952380952381,0
0,21,21,282,1.7476190476190478,0
0,21,21,283,1.7171428571428573,0
0,22,22,284,1.7904545454545455,0
0,21,21,285,1.813809523809524,0
0,21,21,286,1.6909523809523808,0
0,22,22,287,1.820909090909091,0
0,21,21,288,1.7380952380952381,0
0,21,21,289,1.841904761904762,0
0,21,21,290,1.7380952380952381,0
0,21,21,291,1.7538095238095237,0
0,21,21,292,1.773333333333333,0
0,21,21,293,1.6923809523809528,0
0,21,21,294,1.7485714285714284,0
0,22,22,295,1.7663636363636364,0
0,21,21,296,1.7695238095238093,0
0,21,21,297,1.7757142857142856,0
0,21,21,298,1.805238095238095,0
0,21,21,299,1.7671428571428571,0
0,21,21,300,1.7380952380952381,0
0,21,21,301,1.8119047619047617,0
0,21,21,302,1.7076190476190476,0
0,21,21,303,1.764761904761905,0
0,21,21,304,1.7485714285714284,0
0,21,21,305,1.7433333333333334,0
0,21,21,306,1.7142857142857142,0
0,21,21,307,1.7823809523809524,0
0,21,21,308,1.783809523809524,0
0,21,21,309,1.7314285714285713,0
0,22,22,310,1.76,0
0,21,21,311,1.7619047619047619,0
0,21,21,312,1.6785714285714286,0
0,21,21,313,1.739047619047619,0
0,22,22,314,1.697272727272727,0
0,21,21,315,1.7671428571428571,0
0,21,21,316,1.7614285714285716,0
0,21,21,317,1.8738095238095238,0
0,21,21,318,1.7642857142857142,0
0,22,22,319,1.6818181818181819,0
0,21,21,320,1.6833333333333333,0
0,21,21,321,1.6923809523809523,0
0,21,21,322,1.6942857142857142,0
0,21,21,323,1.6904761904761905,0
0,21,21,324,1.711904761904762,0
0,21,21,325,1.779047619047619,0
0,22,22,326,1.720909090909091,0
0,21,21,327,1.7257142857142855,0
0,22,22,328,1.8863636363636365,0
0,21,21,329,1.7857142857142858,0
0,21,21,330,1.7099999999999997,0
0,21,21,331,1.838571428571429,0
0,21,21,332,1.7538095238095237,0
0,22,22,333,1.7272727272727273,0
0,21,21,334,1.810952380952381,0
0,21,21,335,1.7957142857142858,0
0,21,21,336,1.8095238095238095,0
0,21,21,337,1.7661904761904763,0
0,21,21,338,1.7142857142857142,0
0,21,21,339,1.725238095238095,0
0,21,21,340,1.8195238095238095,0
0,21,21,341,1.7285714285714284,0
0,21,21,342,1.7142857142857142,0
0,21,21,343,1.7466666666666666,0
0,21,21,344,1.72,0
0,21,21,345,1.7452380952380953,0
0,21,21,346,1.7619047619047619,0
0,22,22,347,1.705909090909091,0
0,21,21,348,1.7985714285714285,0
0,21,21,349,1.7195238095238095,0
0,21,21,350,1.7142857142857142,0
0,21,21,351,1.67,0
0,21,21,352,1.7900000000000003,0
0,22,22,353,1.7981818181818183,0
0,21,21,354,1.8023809523809524,0
0,21,21,355,1.6785714285714286,0
0,21,21,356,1.8095238095238095,0
0,21,21,357,1.7619047619047619,0
0,21,21,358,1.7857142857142858,0
0,21,21,359,1.6666666666666667,0
0,21,21,360,1.6904761904761905,0
0,21,21,361,1.6761904761904762,0
0,21,21,362,1.7028571428571428,0
0,22,22,363,1.7727272727272727,0
0,21,21,364,1.8071428571428574,0
0,21,21,365,1.7619047619047619,0
0,21,21,366,1.7380952380952381,0
0,21,21,367,1.8414285714285714,0
0,21,21,368,1.7395238095238095,0
0,21,21,369,1.7780952380952382,0
0,22,22,370,1.7954545454545454,0
0,21,21,371,1.740952380952381,0
0,21,21,372,1.6738095238095236,0
0,21,21,373,1.6666666666666667,0
0,21,21,374,1.6523809523809525,0
0,21,21,375,1.7004761904761905,0
0,22,22,376,1.7572727272727275,0
0,21,21,377,1.7928571428571427,0
0,21,21,378,1.6904761904761905,0
0,21,21,379,1.7019047619047616,0
0,22,22,380,1.8672727272727272,0
0,21,21,381,1.7633333333333334,0
0,21,21,382,1.7466666666666666,0
0,21,21,383,1.8095238095238095,0
0,22,22,384,1.852727272727273,0
0,21,21,385,1.862857142857143,0
0,22,22,386,1.7913636363636363,0
0,21,21,387,1.7099999999999997,0
0,21,21,388,1.7380952380952381,0
0,22,22,389,1.8104545454545453,0
0,21,21,390,1.7038095238095239,0
0,21,21,391,1.7290476190476192,0
0,21,21,392,1.8095238095238095,0
0,21,21,393,1.8095238095238095,0
0,21,21,394,1.8095238095238095,0
0,22,22,395,1.7954545454545454,0
0,21,21,396,1.7623809523809524,0
0,21,21,397,1.7142857142857142,0
0,21,21,398,1.7042857142857142,0
0,21,21,399,1.7995238095238095,0
0,21,21,400,1.7380952380952381,0
0,21,21,401,1.7423809523809526,0
0,21,21,402,1.7380952380952381,0
0,21,21,403,1.7619047619047619,0
0,22,22,404,1.7304545454545455,0
0,21,21,405,1.7380952380952381,0
0,22,22,406,1.75,0
0,22,22,407,1.8450000000000002,0
0,22,22,408,1.7272727272727273,0
0,21,21,409,1.76,0
0,21,21,410,1.8290476190476188,0
0,22,22,411,1.7954545454545454,0
0,21,21,412,1.655714285714286,0
0,21,21,413,1.7757142857142856,0
0,21,21,414,1.7142857142857142,0
0,21,21,415,1.7457142857142856,0
0,21,21,416,1.6285714285714288,0
0,21,21,417,1.697142857142857,0
0,21,21,418,1.6585714285714286,0
0,21,21,419,1.8095238095238095,0
0,21,21,420,1.7466666666666666,0
0,21,21,421,1.7380952380952381,0
0,21,21,422,1.7385714285714284,0
0,21,21,423,1.8019047619047621,0
0,22,22,424,1.7613636363636365,0
0,21,21,425,1.743809523809524,0
0,22,22,426,1.7272727272727273,0
0,21,21,427,1.7380952380952381,0
0,21,21,428,1.8095238095238095,0
0,22,22,429,1.7159090909090908,0
0,21,21,430,1.6633333333333333,0
0,21,21,431,1.7490476190476192,0
0,22,22,432,1.7799999999999998,0
0,21,21,433,1.6676190476190478,0
0,22,22,434,1.7727272727272727,0
0,22,22,435,1.757272727272727,0
0,21,21,436,1.6833333333333333,0
0,21,21,437,1.7857142857142858,0
0,22,22,438,1.7977272727272726,0
0,21,21,439,1.7419047619047618,0
0,21,21,440,1.8095238095238095,0
0,21,21,441,1.8019047619047621,0
0,21,21,442,1.7142857142857142,0
0,21,21,443,1.7728571428571431,0
0,21,21,444,1.7995238095238095,0
0,21,21,445,1.7704761904761905,0
0,21,21,446,1.7452380952380953,0
0,21,21,447,1.6942857142857142,0
0,21,21,448,1.7866666666666664,0
0,21,21,449,1.779047619047619,0
0,21,21,450,1.7733333333333334,0
0,21,21,451,1.687142857142857,0
0,22,22,452,1.752727272727273,0
0,22,22,453,1.76,0
0,21,21,454,1.6904761904761905,0
0,21,21,455,1.77,0
0,21,21,456,1.7857142857142858,0
0,21,21,457,1.674761904761905,0
0,21,21,458,1.7619047619047619,0
0,21,21,459,1.8333333333333333,0
0,22,22,460,1.7645454545454546,0
0,21,21,461,1.7380952380952381,0
0,21,21,462,1.6852380952380952,0
0,21,21,463,1.7157142857142857,0
0,22,22,464,1.7754545454545456,0
0,22,22,465,1.820909090909091,0
0,21,21,466,1.7619047619047619,0
0,22,22,467,1.8559090909090907,0
0,21,21,468,1.7623809523809526,0
0,21,21,469,1.7395238095238095,0
0,22,22,470,1.7645454545454546,0
0,21,21,471,1.8009523809523809,0
0,21,21,472,1.7085714285714286,0
0,21,21,473,1.6814285714285715,0
0,22,22,474,1.8181818181818181,0
0,21,21,475,1.7633333333333334,0
0,21,21,476,1.681904761904762,0
0,21,21,477,1.6623809523809523,0
0,22,22,478,1.7954545454545454,0
0,21,21,479,1.7619047619047619,0
0,21,21,480,1.7219047619047618,0
0,21,21,481,1.788095238095238,0
0,22,22,482,1.794090909090909,0
0,21,21,483,1.7747619047619045,0
0,21,21,484,1.7619047619047619,0
0,22,22,485,1.75,0
0,22,22,486,1.8463636363636362,0
0,21,21,487,1.8133333333333332,0
0,21,21,488,1.7142857142857142,0
0,21,21,489,1.7457142857142856,0
0,21,21,490,1.7685714285714287,0
0,21,21,491,1.6938095238095239,0
0,21,21,492,1.7114285714285713,0
0,21,21,493,1.7742857142857145,0
0,22,22,494,1.7840909090909092,0
0,21,21,495,1.7733333333333334,0
0,21,21,496,1.7142857142857142,0
0,21,21,497,1.8333333333333333,0
0,21,21,498,1.6904761904761905,0
0,21,21,499,1.749047619047619,0
