seq length:,Nodes,Edges,Time (Graph),MP (Graph),Vars,Constr,Time (Setup),MP (Setup),Time (ILP),MP (ILP),ILP Solution,ILP Objective,Greedy Solution,Greedy Objective,Greedy Time
226,4414,315096,35,151.795129,315096,13826,144.6477122,208.417356,57.82077336,9.300511,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(236, 254, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 126, 'r')"", ""(76, 99, 'f')"", ""(260, 278, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(281, 299, 'r')"", 'd']]",62.19394816,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 255, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (255, 273, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (287, 305, 'r')]]",70.10764899,0.739415646
326,6898,534739,58,263.231908,534739,20938,245.4806535,364.331088,85.21698833,15.725257,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(210, 234, 'f')"", ""(387, 405, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(412, 430, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(436, 454, 'r')"", 'd']]",71.07871829,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (213, 237, 'f'), (400, 418, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (412, 430, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (432, 450, 'r')]]",77.68244028,1.32707572
426,8479,656964,73,325.553991,656964,25879,292.5200868,427.614297,102.5916581,19.224766,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(212, 236, 'f')"", ""(398, 416, 'r')"", ""(368, 392, 'f')"", ""(548, 566, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(416, 434, 'r')"", ""(388, 406, 'f')"", ""(564, 583, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(436, 454, 'r')"", 'd']]",71.87629008,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (210, 234, 'f'), (397, 415, 'r'), (368, 392, 'f'), (553, 571, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (417, 435, 'r'), (388, 406, 'f'), (565, 585, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (436, 454, 'r')]]",78.48002207,1.641227961
526,10475,818759,92,408.105408,818759,32045,382.0743079,595.661079,126.4156368,23.924807,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(212, 236, 'f')"", ""(398, 416, 'r')"", ""(368, 392, 'f')"", ""(554, 572, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(416, 434, 'r')"", ""(388, 406, 'f')"", ""(575, 593, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(433, 454, 'r')"", ""(404, 422, 'f')"", ""(590, 608, 'r')"", 'd']]",71.87667008,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (210, 234, 'f'), (397, 415, 'r'), (368, 392, 'f'), (555, 573, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (417, 435, 'r'), (388, 406, 'f'), (570, 588, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (433, 454, 'r'), (404, 422, 'f'), (590, 608, 'r')]]",78.48039207,2.201877356
626,13049,1046653,119,524.854626,1046653,39371,489.2760496,714.50911,156.9654124,30.431195,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(210, 234, 'f')"", ""(397, 415, 'r')"", ""(367, 392, 'f')"", ""(543, 562, 'r')"", ""(514, 532, 'f')"", ""(701, 719, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(416, 434, 'r')"", ""(388, 406, 'f')"", ""(569, 593, 'r')"", ""(543, 562, 'f')"", ""(724, 744, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(433, 454, 'r')"", ""(404, 422, 'f')"", ""(590, 609, 'r')"", ""(559, 585, 'f')"", ""(746, 764, 'r')"", 'd']]",71.87795008,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (210, 234, 'f'), (397, 415, 'r'), (368, 392, 'f'), (543, 563, 'r'), (514, 532, 'f'), (701, 719, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (417, 435, 'r'), (388, 406, 'f'), (569, 593, 'r'), (543, 562, 'f'), (723, 743, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (433, 454, 'r'), (404, 422, 'f'), (590, 609, 'r'), (559, 585, 'f'), (737, 755, 'r')]]",78.48167207,3.497921705
726,15353,1236587,136,622.200049,1236587,46222,605.5230489,813.650204,183.5481424,35.937824,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(212, 236, 'f')"", ""(398, 416, 'r')"", ""(367, 392, 'f')"", ""(543, 562, 'r')"", ""(514, 532, 'f')"", ""(694, 712, 'r')"", ""(664, 684, 'f')"", ""(851, 869, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(416, 434, 'r')"", ""(388, 406, 'f')"", ""(567, 591, 'r')"", ""(543, 562, 'f')"", ""(730, 748, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(433, 454, 'r')"", ""(404, 422, 'f')"", ""(590, 609, 'r')"", ""(559, 585, 'f')"", ""(744, 763, 'r')"", 'd']]",71.87832008,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (210, 234, 'f'), (397, 415, 'r'), (368, 392, 'f'), (543, 563, 'r'), (513, 531, 'f'), (695, 713, 'r'), (664, 684, 'f'), (851, 869, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (417, 435, 'r'), (388, 406, 'f'), (569, 593, 'r'), (543, 562, 'f'), (730, 748, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (433, 454, 'r'), (404, 422, 'f'), (590, 609, 'r'), (559, 585, 'f'), (744, 763, 'r')]]",78.48204207,3.247690439
826,17990,1465890,167,738.803703,1465890,53740,700.5029695,1099.015653,228.1472855,42.564323,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(210, 234, 'f')"", ""(395, 413, 'r')"", ""(368, 392, 'f')"", ""(543, 563, 'r')"", ""(513, 531, 'f')"", ""(696, 717, 'r')"", ""(672, 690, 'f')"", ""(859, 877, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(416, 434, 'r')"", ""(388, 406, 'f')"", ""(567, 591, 'r')"", ""(543, 562, 'f')"", ""(725, 744, 'r')"", ""(694, 712, 'f')"", ""(875, 893, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(433, 454, 'r')"", ""(407, 428, 'f')"", ""(592, 612, 'r')"", ""(567, 591, 'f')"", ""(754, 772, 'r')"", ""(727, 746, 'f')"", ""(911, 929, 'r')"", 'd']]",71.87908008,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (210, 234, 'f'), (397, 415, 'r'), (368, 392, 'f'), (543, 563, 'r'), (513, 531, 'f'), (696, 715, 'r'), (670, 690, 'f'), (857, 875, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (417, 435, 'r'), (388, 406, 'f'), (569, 593, 'r'), (543, 562, 'f'), (726, 745, 'r'), (695, 713, 'f'), (875, 893, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (433, 454, 'r'), (407, 428, 'f'), (592, 612, 'r'), (567, 591, 'f'), (754, 772, 'r'), (725, 744, 'f'), (912, 930, 'r')]]",78.48280207,4.127351284
926,20564,1693784,192,854.765866,1693784,61066,868.7731016,1217.897999,254.9346013,49.161297,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(212, 236, 'f')"", ""(398, 416, 'r')"", ""(367, 392, 'f')"", ""(543, 562, 'r')"", ""(514, 532, 'f')"", ""(695, 713, 'r')"", ""(664, 684, 'f')"", ""(850, 869, 'r')"", ""(823, 844, 'f')"", ""(1000, 1018, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(416, 434, 'r')"", ""(388, 406, 'f')"", ""(567, 591, 'r')"", ""(543, 562, 'f')"", ""(725, 744, 'r')"", ""(694, 712, 'f')"", ""(870, 893, 'r')"", ""(848, 867, 'f')"", ""(1035, 1053, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(433, 454, 'r')"", ""(407, 428, 'f')"", ""(592, 612, 'r')"", ""(567, 591, 'f')"", ""(754, 772, 'r')"", ""(727, 746, 'f')"", ""(907, 928, 'r')"", ""(878, 903, 'f')"", ""(1058, 1076, 'r')"", 'd']]",71.88035008,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (210, 234, 'f'), (397, 415, 'r'), (368, 392, 'f'), (543, 563, 'r'), (513, 531, 'f'), (695, 713, 'r'), (663, 683, 'f'), (849, 868, 'r'), (823, 844, 'f'), (1003, 1021, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (417, 435, 'r'), (388, 406, 'f'), (569, 593, 'r'), (543, 562, 'f'), (726, 745, 'r'), (695, 713, 'f'), (870, 893, 'r'), (848, 867, 'f'), (1032, 1050, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (433, 454, 'r'), (407, 428, 'f'), (592, 612, 'r'), (567, 591, 'f'), (754, 772, 'r'), (725, 744, 'f'), (907, 928, 'r'), (878, 903, 'f'), (1056, 1074, 'r')]]",78.48407207,5.991541862
1026,23138,1921611,219,972.847105,1921611,68392,873.000169,1338.971359,280.2805464,55.748626,"[['s', ""(-87, -68, 'f')"", ""(85, 108, 'r')"", ""(58, 80, 'f')"", ""(237, 258, 'r')"", ""(210, 234, 'f')"", ""(397, 415, 'r')"", ""(367, 392, 'f')"", ""(543, 562, 'r')"", ""(514, 532, 'f')"", ""(696, 718, 'r')"", ""(673, 691, 'f')"", ""(859, 878, 'r')"", ""(833, 854, 'f')"", ""(1020, 1038, 'r')"", ""(988, 1009, 'f')"", ""(1164, 1183, 'r')"", 'd'], ['s', ""(-74, -52, 'f')"", ""(102, 127, 'r')"", ""(77, 99, 'f')"", ""(252, 282, 'r')"", ""(232, 252, 'f')"", ""(416, 434, 'r')"", ""(388, 406, 'f')"", ""(567, 591, 'r')"", ""(543, 562, 'f')"", ""(725, 744, 'r')"", ""(695, 713, 'f')"", ""(872, 896, 'r')"", ""(848, 867, 'f')"", ""(1034, 1052, 'r')"", 'd'], ['s', ""(-58, -28, 'f')"", ""(121, 144, 'r')"", ""(94, 120, 'f')"", ""(276, 299, 'r')"", ""(249, 273, 'f')"", ""(433, 454, 'r')"", ""(407, 428, 'f')"", ""(592, 612, 'r')"", ""(567, 591, 'f')"", ""(754, 772, 'r')"", ""(726, 745, 'f')"", ""(905, 928, 'r')"", ""(878, 903, 'f')"", ""(1055, 1073, 'r')"", 'd']]",71.88080008,"[[(-87, -68, 'f'), (85, 108, 'r'), (58, 80, 'f'), (237, 258, 'r'), (210, 234, 'f'), (397, 415, 'r'), (368, 392, 'f'), (543, 563, 'r'), (513, 531, 'f'), (696, 718, 'r'), (673, 691, 'f'), (859, 878, 'r'), (833, 854, 'f'), (1020, 1038, 'r'), (988, 1009, 'f'), (1164, 1183, 'r')], [(-74, -48, 'f'), (102, 127, 'r'), (77, 102, 'f'), (252, 282, 'r'), (232, 252, 'f'), (417, 435, 'r'), (388, 406, 'f'), (569, 593, 'r'), (543, 562, 'f'), (726, 745, 'r'), (695, 713, 'f'), (872, 896, 'r'), (848, 867, 'f'), (1032, 1050, 'r')], [(-54, -24, 'f'), (123, 151, 'r'), (101, 121, 'f'), (276, 299, 'r'), (249, 273, 'f'), (433, 454, 'r'), (407, 428, 'f'), (592, 612, 'r'), (567, 591, 'f'), (754, 772, 'r'), (725, 744, 'f'), (895, 920, 'r'), (870, 893, 'f'), (1054, 1072, 'r')]]",78.48452207,5.63802743
